   ,,日期,时间,业务量
1,,20191101,0,73064
2,,20191101,30,33151
3,,20191101,100,15103
4,,20191101,130,10670
5,,20191101,200,9206
6,,20191101,230,6934
7,,20191101,300,6652
8,,20191101,330,5465
9,,20191101,400,6200
10,,20191101,430,6268
11,,20191101,500,8106
12,,20191101,530,11179
13,,20191101,600,18814
14,,20191101,630,26013
15,,20191101,700,34937
16,,20191101,730,39471
17,,20191101,800,37743
18,,20191101,830,39731
19,,20191101,900,35271
20,,20191101,930,34374
21,,20191101,1000,40669
22,,20191101,1030,38255
23,,20191101,1100,40511
24,,20191101,1130,37123
25,,20191101,1200,43162
26,,20191101,1230,37930
27,,20191101,1300,33465
28,,20191101,1330,29276
29,,20191101,1400,29681
30,,20191101,1430,27632
31,,20191101,1500,29309
32,,20191101,1530,26515
33,,20191101,1600,29458
34,,20191101,1630,30003
35,,20191101,1700,32698
36,,20191101,1730,33364
37,,20191101,1800,35118
38,,20191101,1830,35882
39,,20191101,1900,36521
40,,20191101,1930,35756
41,,20191101,2000,33631
42,,20191101,2030,32768
43,,20191101,2100,34597
44,,20191101,2130,33102
45,,20191101,2200,31233
46,,20191101,2230,29902
47,,20191101,2300,27070
48,,20191101,2330,26630
49,,20191102,0,29405
50,,20191102,30,20415
51,,20191102,100,16590
52,,20191102,130,12976
53,,20191102,200,11444
54,,20191102,230,9288
55,,20191102,300,8482
56,,20191102,330,7482
57,,20191102,400,7634
58,,20191102,430,7304
59,,20191102,500,8859
60,,20191102,530,9896
61,,20191102,600,16071
62,,20191102,630,23804
63,,20191102,700,33113
64,,20191102,730,40099
65,,20191102,800,48318
66,,20191102,830,51489
67,,20191102,900,54171
68,,20191102,930,51791
69,,20191102,1000,48586
70,,20191102,1030,44893
71,,20191102,1100,40630
72,,20191102,1130,36062
73,,20191102,1200,36845
74,,20191102,1230,35179
75,,20191102,1300,33252
76,,20191102,1330,31062
77,,20191102,1400,30345
78,,20191102,1430,30263
79,,20191102,1500,30218
80,,20191102,1530,29023
81,,20191102,1600,29549
82,,20191102,1630,29547
83,,20191102,1700,29620
84,,20191102,1730,30087
85,,20191102,1800,33855
86,,20191102,1830,34252
87,,20191102,1900,37464
88,,20191102,1930,34757
89,,20191102,2000,34957
90,,20191102,2030,33384
91,,20191102,2100,36829
92,,20191102,2130,33793
93,,20191102,2200,32208
94,,20191102,2230,28700
95,,20191102,2300,26737
96,,20191102,2330,22202
97,,20191103,0,25081
98,,20191103,30,16061
99,,20191103,100,12468
100,,20191103,130,9634
101,,20191103,200,8079
102,,20191103,230,6176
103,,20191103,300,5738
104,,20191103,330,4924
105,,20191103,400,5140
106,,20191103,430,4972
107,,20191103,500,5860
108,,20191103,530,6690
109,,20191103,600,9574
110,,20191103,630,13811
111,,20191103,700,20816
112,,20191103,730,25261
113,,20191103,800,28237
114,,20191103,830,28996
115,,20191103,900,31953
116,,20191103,930,33766
117,,20191103,1000,34450
118,,20191103,1030,32108
119,,20191103,1100,33626
120,,20191103,1130,33996
121,,20191103,1200,33859
122,,20191103,1230,34566
123,,20191103,1300,33215
124,,20191103,1330,30394
125,,20191103,1400,29828
126,,20191103,1430,28478
127,,20191103,1500,27698
128,,20191103,1530,25883
129,,20191103,1600,26286
130,,20191103,1630,26521
131,,20191103,1700,25438
132,,20191103,1730,26726
133,,20191103,1800,27770
134,,20191103,1830,28508
135,,20191103,1900,30029
136,,20191103,1930,29399
137,,20191103,2000,29604
138,,20191103,2030,28426
139,,20191103,2100,29745
140,,20191103,2130,27330
141,,20191103,2200,28320
142,,20191103,2230,24029
143,,20191103,2300,22642
144,,20191103,2330,18906
145,,20191104,0,20977
146,,20191104,30,12875
147,,20191104,100,10041
148,,20191104,130,7815
149,,20191104,200,6864
150,,20191104,230,5530
151,,20191104,300,5143
152,,20191104,330,4247
153,,20191104,400,4715
154,,20191104,430,4401
155,,20191104,500,5391
156,,20191104,530,6290
157,,20191104,600,9452
158,,20191104,630,14316
159,,20191104,700,18848
160,,20191104,730,22604
161,,20191104,800,26292
162,,20191104,830,25696
163,,20191104,900,26488
164,,20191104,930,25403
165,,20191104,1000,25073
166,,20191104,1030,25125
167,,20191104,1100,25215
168,,20191104,1130,24472
169,,20191104,1200,28893
170,,20191104,1230,28275
171,,20191104,1300,25630
172,,20191104,1330,21595
173,,20191104,1400,23064
174,,20191104,1430,21603
175,,20191104,1500,54194
176,,20191104,1530,52434
177,,20191104,1600,96674
178,,20191104,1630,32578
179,,20191104,1700,37018
180,,20191104,1730,38779
181,,20191104,1800,43661
182,,20191104,1830,42028
183,,20191104,1900,44379
184,,20191104,1930,42991
185,,20191104,2000,45606
186,,20191104,2030,44904
187,,20191104,2100,41079
188,,20191104,2130,43560
189,,20191104,2200,43923
190,,20191104,2230,38326
191,,20191104,2300,34797
192,,20191104,2330,27245
193,,20191105,0,30152
194,,20191105,30,19181
195,,20191105,100,13518
196,,20191105,130,10486
197,,20191105,200,9027
198,,20191105,230,7330
199,,20191105,300,6327
200,,20191105,330,5738
201,,20191105,400,6055
202,,20191105,430,6128
203,,20191105,500,7051
204,,20191105,530,9095
205,,20191105,600,14392
206,,20191105,630,22320
207,,20191105,700,34742
208,,20191105,730,40684
209,,20191105,800,45629
210,,20191105,830,42780
211,,20191105,900,46265
212,,20191105,930,45044
213,,20191105,1000,43762
214,,20191105,1030,40479
215,,20191105,1100,40256
216,,20191105,1130,39697
217,,20191105,1200,47618
218,,20191105,1230,46529
219,,20191105,1300,39764
220,,20191105,1330,37128
221,,20191105,1400,37238
222,,20191105,1430,33754
223,,20191105,1500,33606
224,,20191105,1530,35121
225,,20191105,1600,34310
226,,20191105,1630,33459
227,,20191105,1700,37706
228,,20191105,1730,38631
229,,20191105,1800,42096
230,,20191105,1830,41443
231,,20191105,1900,42582
232,,20191105,1930,44065
233,,20191105,2000,45061
234,,20191105,2030,42249
235,,20191105,2100,44215
236,,20191105,2130,41317
237,,20191105,2200,40334
238,,20191105,2230,37040
239,,20191105,2300,32950
240,,20191105,2330,26585
241,,20191106,0,26810
242,,20191106,30,18284
243,,20191106,100,13484
244,,20191106,130,10404
245,,20191106,200,8667
246,,20191106,230,6678
247,,20191106,300,6018
248,,20191106,330,5380
249,,20191106,400,5731
250,,20191106,430,5643
251,,20191106,500,6406
252,,20191106,530,8444
253,,20191106,600,12915
254,,20191106,630,18647
255,,20191106,700,30257
256,,20191106,730,37694
257,,20191106,800,49467
258,,20191106,830,45618
259,,20191106,900,46957
260,,20191106,930,46662
261,,20191106,1000,44435
262,,20191106,1030,42171
263,,20191106,1100,44050
264,,20191106,1130,47295
265,,20191106,1200,51306
266,,20191106,1230,48539
267,,20191106,1300,43681
268,,20191106,1330,39283
269,,20191106,1400,38918
270,,20191106,1430,35497
271,,20191106,1500,33915
272,,20191106,1530,36009
273,,20191106,1600,31995
274,,20191106,1630,34322
275,,20191106,1700,36437
276,,20191106,1730,38637
277,,20191106,1800,43421
278,,20191106,1830,42810
279,,20191106,1900,45906
280,,20191106,1930,46209
281,,20191106,2000,44213
282,,20191106,2030,43564
283,,20191106,2100,44917
284,,20191106,2130,43140
285,,20191106,2200,44288
286,,20191106,2230,41123
287,,20191106,2300,35482
288,,20191106,2330,30734
289,,20191107,0,30475
290,,20191107,30,18666
291,,20191107,100,14678
292,,20191107,130,11262
293,,20191107,200,9503
294,,20191107,230,7204
295,,20191107,300,6800
296,,20191107,330,6182
297,,20191107,400,6472
298,,20191107,430,5867
299,,20191107,500,7218
300,,20191107,530,9329
301,,20191107,600,14758
302,,20191107,630,22950
303,,20191107,700,30017
304,,20191107,730,39457
305,,20191107,800,41282
306,,20191107,830,46023
307,,20191107,900,44943
308,,20191107,930,42705
309,,20191107,1000,42531
310,,20191107,1030,40810
311,,20191107,1100,41000
312,,20191107,1130,44720
313,,20191107,1200,46157
314,,20191107,1230,49855
315,,20191107,1300,43866
316,,20191107,1330,39546
317,,20191107,1400,39020
318,,20191107,1430,38201
319,,20191107,1500,37597
320,,20191107,1530,33524
321,,20191107,1600,35816
322,,20191107,1630,33209
323,,20191107,1700,38762
324,,20191107,1730,41483
325,,20191107,1800,42234
326,,20191107,1830,44683
327,,20191107,1900,45921
328,,20191107,1930,42876
329,,20191107,2000,45680
330,,20191107,2030,43973
331,,20191107,2100,47168
332,,20191107,2130,43066
333,,20191107,2200,36531
334,,20191107,2230,32917
335,,20191107,2300,20868
336,,20191107,2330,16660
337,,20191108,0,14956
338,,20191108,30,9893
339,,20191108,100,7277
340,,20191108,130,5625
