时间,日期,总业务量
2019/11/30,23:30,1470425
2019/12/1,0:00,2363450
2019/12/1,0:30,1301097
2019/12/1,1:00,866695
2019/12/1,1:30,608148
2019/12/1,2:00,478406
2019/12/1,2:30,397311
2019/12/1,3:00,350153
2019/12/1,3:30,318657
2019/12/1,4:00,327582
2019/12/1,4:30,367331
2019/12/1,5:00,481167
2019/12/1,5:30,659740
2019/12/1,6:00,946984
2019/12/1,6:30,1358904
2019/12/1,7:00,1888356
2019/12/1,7:30,2285895
2019/12/1,8:00,2652303
2019/12/1,8:30,2743349
2019/12/1,9:00,2794569
2019/12/1,9:30,3132880
2019/12/1,10:00,3227655
2019/12/1,10:30,3210209
2019/12/1,11:00,2812077
2019/12/1,11:30,2998154
2019/12/1,12:00,2808066
2019/12/1,12:30,2751069
2019/12/1,13:00,2449986
2019/12/1,13:30,2353623
2019/12/1,14:00,2257136
2019/12/1,14:30,2215316
2019/12/1,15:00,2176345
2019/12/1,15:30,2134371
2019/12/1,16:00,2113058
2019/12/1,16:30,2042657
2019/12/1,17:00,2036554
2019/12/1,17:30,1970387
2019/12/1,18:00,1938254
2019/12/1,18:30,1927837
2019/12/1,19:00,1931236
2019/12/1,19:30,1889487
2019/12/1,20:00,1938116
2019/12/1,20:30,1839415
2019/12/1,21:00,1833122
2019/12/1,21:30,1791036
2019/12/1,22:00,1680414
2019/12/1,22:30,1483035
2019/12/1,23:00,1268720
2019/12/1,23:30,1012924
2019/12/2,0:00,900780
2019/12/2,0:30,619705
2019/12/2,1:00,447317
2019/12/2,1:30,334594
2019/12/2,2:00,270799
2019/12/2,2:30,231858
2019/12/2,3:00,205876
2019/12/2,3:30,195622
2019/12/2,4:00,202959
2019/12/2,4:30,232879
2019/12/2,5:00,309543
2019/12/2,5:30,453523
2019/12/2,6:00,718371
2019/12/2,6:30,1023863
2019/12/2,7:00,1419064
2019/12/2,7:30,1612790
2019/12/2,8:00,1898529
2019/12/2,8:30,1954687
2019/12/2,9:00,2289753
2019/12/2,9:30,2219768
2019/12/2,10:00,2406947
2019/12/2,10:30,2396134
2019/12/2,11:00,2369585
2019/12/2,11:30,2395165
2019/12/2,12:00,2318520
2019/12/2,12:30,2262038
2019/12/2,13:00,2037735
2019/12/2,13:30,1858798
2019/12/2,14:00,1834928
2019/12/2,14:30,1942218
2019/12/2,15:00,2000672
2019/12/2,15:30,1934584
2019/12/2,16:00,1955838
2019/12/2,16:30,1917573
2019/12/2,17:00,1873392
2019/12/2,17:30,1755739
2019/12/2,18:00,1811981
2019/12/2,18:30,1785182
2019/12/2,19:00,1743183
2019/12/2,19:30,1707204
2019/12/2,20:00,1740721
2019/12/2,20:30,1704298
2019/12/2,21:00,1640470
2019/12/2,21:30,1577255
2019/12/2,22:00,1467431
2019/12/2,22:30,1324649
2019/12/2,23:00,1081269
2019/12/2,23:30,843090
2019/12/3,0:00,720250
2019/12/3,0:30,517566
2019/12/3,1:00,383886
2019/12/3,1:30,325073
2019/12/3,2:00,272969
2019/12/3,2:30,213465
2019/12/3,3:00,187966
2019/12/3,3:30,177987
2019/12/3,4:00,175520
2019/12/3,4:30,199466
2019/12/3,5:00,262875
2019/12/3,5:30,380827
2019/12/3,6:00,577628
2019/12/3,6:30,831145
2019/12/3,7:00,1123815
2019/12/3,7:30,1208428
2019/12/3,8:00,1459934
2019/12/3,8:30,1543907
2019/12/3,9:00,1757690
2019/12/3,9:30,1670253
2019/12/3,10:00,1807376
2019/12/3,10:30,1803161
2019/12/3,11:00,1758939
2019/12/3,11:30,1813599
2019/12/3,12:00,1742794
2019/12/3,12:30,1719709
2019/12/3,13:00,1557923
2019/12/3,13:30,1511585
2019/12/3,14:00,1557681
2019/12/3,14:30,1565289
2019/12/3,15:00,1585857
2019/12/3,15:30,1628162
2019/12/3,16:00,1650116
2019/12/3,16:30,1648721
2019/12/3,17:00,1646991
2019/12/3,17:30,1591428
2019/12/3,18:00,1484355
2019/12/3,18:30,1566078
2019/12/3,19:00,1550831
2019/12/3,19:30,1556434
2019/12/3,20:00,1534828
2019/12/3,20:30,1490582
2019/12/3,21:00,1444890
2019/12/3,21:30,1400329
2019/12/3,22:00,1273625
2019/12/3,22:30,1120277
2019/12/3,23:00,924605
2019/12/3,23:30,729931
2019/12/4,0:00,607781
2019/12/4,0:30,430173
2019/12/4,1:00,313152
2019/12/4,1:30,241305
2019/12/4,2:00,195093
2019/12/4,2:30,165441
2019/12/4,3:00,148545
2019/12/4,3:30,145448
2019/12/4,4:00,150739
2019/12/4,4:30,168423
2019/12/4,5:00,220296
2019/12/4,5:30,311598
2019/12/4,6:00,475313
2019/12/4,6:30,663755
2019/12/4,7:00,870696
2019/12/4,7:30,957682
2019/12/4,8:00,1197493
2019/12/4,8:30,1339998
2019/12/4,9:00,1456736
2019/12/4,9:30,1518388
2019/12/4,10:00,1562509
2019/12/4,10:30,1626420
2019/12/4,11:00,1663395
2019/12/4,11:30,1660001
2019/12/4,12:00,1587919
2019/12/4,12:30,1582717
2019/12/4,13:00,1417872
2019/12/4,13:30,1339465
2019/12/4,14:00,1418887
2019/12/4,14:30,1446151
2019/12/4,15:00,1413121
2019/12/4,15:30,1444372
2019/12/4,16:00,1484634
2019/12/4,16:30,1504226
2019/12/4,17:00,1523328
2019/12/4,17:30,1450262
2019/12/4,18:00,1461211
2019/12/4,18:30,1139421
2019/12/4,19:00,1057442
