"轮次","业务","接收第三方渠道交易量","统一支付系统转发金科的交易量"
"2020-07-16 00:00:00","支付","5500","5498"
"2020-07-16 00:30:00","支付","3873","3871"
"2020-07-16 01:00:00","支付","2718","2718"
"2020-07-16 01:30:00","支付","1959","1957"
"2020-07-16 02:00:00","支付","1474","1474"
"2020-07-16 02:30:00","支付","1187","1187"
"2020-07-16 03:00:00","支付","1088","1088"
"2020-07-16 03:30:00","支付","945","945"
"2020-07-16 04:00:00","支付","902","902"
"2020-07-16 04:30:00","支付","997","997"
"2020-07-16 05:00:00","支付","1590","1589"
"2020-07-16 05:30:00","支付","2556","2556"
"2020-07-16 06:00:00","支付","4109","4107"
"2020-07-16 06:30:00","支付","6132","6129"
"2020-07-16 07:00:00","支付","11138","11134"
"2020-07-16 07:30:00","支付","12150","12147"
"2020-07-16 08:00:00","支付","15018","15015"
"2020-07-16 08:30:00","支付","15643","15639"
"2020-07-16 09:00:00","支付","17488","17484"
"2020-07-16 09:30:00","支付","16907","16904"
"2020-07-16 10:00:00","支付","18088","18071"
"2020-07-16 10:30:00","支付","18349","18344"
"2020-07-16 11:00:00","支付","17975","17966"
"2020-07-16 11:30:00","支付","17836","17831"
"2020-07-16 12:00:00","支付","19041","19031"
"2020-07-16 12:30:00","支付","17086","17076"
"2020-07-16 13:00:00","支付","15068","15061"
"2020-07-16 13:30:00","支付","14023","14019"
"2020-07-16 14:00:00","支付","15649","15646"
"2020-07-16 14:30:00","支付","15636","15632"
"2020-07-16 15:00:00","支付","16149","16147"
"2020-07-16 15:30:00","支付","15943","15937"
"2020-07-16 16:00:00","支付","16342","16337"
"2020-07-16 16:30:00","支付","15796","15791"
"2020-07-16 17:00:00","支付","15680","15676"
"2020-07-16 17:30:00","支付","14971","14970"
"2020-07-16 18:00:00","支付","9286","9282"
"2020-07-16 18:30:00","支付","13904","13897"
"2020-07-16 19:00:00","支付","12995","12986"
"2020-07-16 19:30:00","支付","13163","13153"
"2020-07-16 20:00:00","支付","13824","13816"
"2020-07-16 20:30:00","支付","13946","13925"
"2020-07-16 21:00:00","支付","13719","13711"
"2020-07-16 21:30:00","支付","9537","9525"
"2020-07-16 22:00:00","支付","10579","10575"
"2020-07-16 22:30:00","支付","9674","9664"
"2020-07-16 23:00:00","支付","6475","6472"
"2020-07-16 23:30:00","支付","4391","4387"
"2020-07-17 00:00:00","支付","3730","3730"
"2020-07-17 00:30:00","支付","2257","2257"
"2020-07-17 01:00:00","支付","1767","1767"
"2020-07-17 01:30:00","支付","1155","1155"
"2020-07-17 02:00:00","支付","1039","1039"
"2020-07-17 02:30:00","支付","901","901"
"2020-07-17 03:00:00","支付","878","878"
"2020-07-17 03:30:00","支付","828","828"
"2020-07-17 04:00:00","支付","732","732"
"2020-07-17 04:30:00","支付","187","187"
"2020-07-17 05:00:00","支付","1225","1225"
"2020-07-17 05:30:00","支付","2503","2500"
"2020-07-17 06:00:00","支付","3635","3633"
"2020-07-17 06:30:00","支付","5518","5516"
"2020-07-17 07:00:00","支付","9021","9020"
"2020-07-17 07:30:00","支付","12803","12800"
"2020-07-17 08:00:00","支付","14984","14981"
"2020-07-17 08:30:00","支付","16747","16744"
"2020-07-17 09:00:00","支付","15946","15941"
"2020-07-17 09:30:00","支付","18825","18815"
"2020-07-17 10:00:00","支付","20027","20020"
"2020-07-17 10:30:00","支付","20091","20085"
"2020-07-17 11:00:00","支付","21624","21612"
"2020-07-17 11:30:00","支付","21052","21047"
"2020-07-17 12:00:00","支付","18634","18628"
"2020-07-17 12:30:00","支付","14852","14847"
"2020-07-17 13:00:00","支付","14482","14475"
"2020-07-17 13:30:00","支付","13646","13640"
"2020-07-17 14:00:00","支付","14189","14180"
"2020-07-17 14:30:00","支付","14523","14518"
"2020-07-17 15:00:00","支付","15433","14797"
"2020-07-17 15:30:00","支付","15618","14555"
"2020-07-17 16:00:00","支付","17264","17261"
"2020-07-17 16:30:00","支付","15970","15957"
"2020-07-17 17:00:00","支付","15266","15260"
"2020-07-17 17:30:00","支付","15162","15136"
"2020-07-17 18:00:00","支付","15925","15916"
"2020-07-17 18:30:00","支付","14948","14941"
"2020-07-17 19:00:00","支付","15346","15336"
"2020-07-17 19:30:00","支付","14532","14524"
"2020-07-17 20:00:00","支付","16225","16214"
"2020-07-17 20:30:00","支付","15123","15107"
"2020-07-17 21:00:00","支付","14802","14790"
"2020-07-17 21:30:00","支付","13496","13480"
"2020-07-17 22:00:00","支付","12371","12363"
"2020-07-17 22:30:00","支付","10615","10610"
"2020-07-17 23:00:00","支付","8447","8444"
"2020-07-17 23:30:00","支付","6530","6527"
"2020-07-18 00:00:00","支付","6509","6502"
"2020-07-18 00:30:00","支付","4291","4288"
"2020-07-18 01:00:00","支付","3318","3317"
"2020-07-18 01:30:00","支付","2322","2321"
"2020-07-18 02:00:00","支付","1852","1851"
"2020-07-18 02:30:00","支付","1421","1421"
"2020-07-18 03:00:00","支付","1237","1236"
"2020-07-18 03:30:00","支付","1149","1149"
"2020-07-18 04:00:00","支付","1098","1098"
"2020-07-18 04:30:00","支付","1297","1297"
"2020-07-18 05:00:00","支付","1937","1934"
"2020-07-18 05:30:00","支付","3113","3110"
"2020-07-18 06:00:00","支付","4905","4900"
"2020-07-18 06:30:00","支付","7001","6988"
"2020-07-18 07:00:00","支付","11635","11613"
"2020-07-18 07:30:00","支付","12786","12731"
"2020-07-18 08:00:00","支付","16233","16057"
"2020-07-18 08:30:00","支付","17534","17276"
"2020-07-18 09:00:00","支付","19148","18819"
"2020-07-18 09:30:00","支付","19596","19278"
"2020-07-18 10:00:00","支付","20137","19484"
"2020-07-18 10:30:00","支付","19928","19282"
"2020-07-18 11:00:00","支付","19211","18883"
"2020-07-18 11:30:00","支付","19033","18772"
"2020-07-18 12:00:00","支付","19306","19073"
"2020-07-18 12:30:00","支付","17316","17046"
"2020-07-18 13:00:00","支付","15195","14956"
"2020-07-18 13:30:00","支付","14106","13850"
"2020-07-18 14:00:00","支付","14423","14179"
"2020-07-18 14:30:00","支付","14766","14489"
"2020-07-18 15:00:00","支付","14687","14378"
"2020-07-18 15:30:00","支付","14591","14274"
"2020-07-18 16:00:00","支付","14780","14486"
"2020-07-18 16:30:00","支付","14777","14546"
"2020-07-18 17:00:00","支付","14706","14570"
"2020-07-18 17:30:00","支付","14238","14128"
"2020-07-18 18:00:00","支付","14146","14091"
"2020-07-18 18:30:00","支付","13939","13876"
"2020-07-18 19:00:00","支付","13845","13808"
"2020-07-18 19:30:00","支付","13806","13756"
"2020-07-18 20:00:00","支付","14240","14198"
"2020-07-18 20:30:00","支付","13979","13955"
"2020-07-18 21:00:00","支付","13730","13711"
"2020-07-18 21:30:00","支付","12852","12831"
"2020-07-18 22:00:00","支付","11362","11353"
"2020-07-18 22:30:00","支付","10226","10218"
"2020-07-18 23:00:00","支付","7860","7856"
"2020-07-18 23:30:00","支付","5976","5975"
"2020-07-19 00:00:00","支付","5584","5581"
"2020-07-19 00:30:00","支付","4137","4135"
"2020-07-19 01:00:00","支付","3189","3188"
"2020-07-19 01:30:00","支付","2349","2349"
"2020-07-19 02:00:00","支付","1918","1918"
"2020-07-19 02:30:00","支付","1475","1475"
"2020-07-19 03:00:00","支付","1338","1338"
"2020-07-19 03:30:00","支付","1083","1083"
"2020-07-19 04:00:00","支付","1074","1074"
"2020-07-19 04:30:00","支付","1037","1037"
"2020-07-19 05:00:00","支付","1634","1634"
"2020-07-19 05:30:00","支付","2498","2497"
"2020-07-19 06:00:00","支付","4065","4065"
"2020-07-19 06:30:00","支付","5821","5821"
"2020-07-19 07:00:00","支付","9615","9614"
"2020-07-19 07:30:00","支付","10868","10867"
"2020-07-19 08:00:00","支付","13887","13885"
"2020-07-19 08:30:00","支付","16090","16089"
"2020-07-19 09:00:00","支付","21213","21210"
"2020-07-19 09:30:00","支付","21258","21253"
"2020-07-19 10:00:00","支付","21956","21951"
"2020-07-19 10:30:00","支付","21648","21646"
"2020-07-19 11:00:00","支付","20914","20908"
"2020-07-19 11:30:00","支付","20834","20829"
"2020-07-19 12:00:00","支付","19970","19969"
"2020-07-19 12:30:00","支付","18063","18060"
"2020-07-19 13:00:00","支付","16278","16274"
"2020-07-19 13:30:00","支付","14886","14884"
"2020-07-19 14:00:00","支付","15269","15266"
"2020-07-19 14:30:00","支付","15439","15435"
"2020-07-19 15:00:00","支付","15521","15520"
"2020-07-19 15:30:00","支付","16175","16170"
"2020-07-19 16:00:00","支付","16148","16145"
"2020-07-19 16:30:00","支付","15258","15255"
"2020-07-19 17:00:00","支付","14793","14792"
"2020-07-19 17:30:00","支付","14663","14660"
"2020-07-19 18:00:00","支付","14304","14300"
"2020-07-19 18:30:00","支付","12522","12520"
"2020-07-19 19:00:00","支付","14020","14019"
"2020-07-19 19:30:00","支付","13812","13809"
"2020-07-19 20:00:00","支付","13804","13801"
"2020-07-19 20:30:00","支付","14480","14479"
"2020-07-19 21:00:00","支付","14024","14019"
"2020-07-19 21:30:00","支付","13080","13080"
"2020-07-19 22:00:00","支付","12363","12363"
"2020-07-19 22:30:00","支付","10657","10656"
"2020-07-19 23:00:00","支付","8506","8506"
"2020-07-19 23:30:00","支付","6437","6436"
"2020-07-20 00:00:00","支付","6468","6468"
"2020-07-20 00:30:00","支付","4407","4406"
"2020-07-20 01:00:00","支付","3199","3199"
"2020-07-20 01:30:00","支付","2394","2393"
"2020-07-20 02:00:00","支付","1853","1853"
"2020-07-20 02:30:00","支付","1385","1385"
"2020-07-20 03:00:00","支付","1269","1269"
"2020-07-20 03:30:00","支付","1114","1114"
"2020-07-20 04:00:00","支付","1058","1058"
"2020-07-20 04:30:00","支付","1262","1262"
"2020-07-20 05:00:00","支付","1899","1899"
"2020-07-20 05:30:00","支付","3278","3278"
"2020-07-20 06:00:00","支付","5416","5416"
"2020-07-20 06:30:00","支付","7975","7975"
"2020-07-20 07:00:00","支付","13492","13490"
"2020-07-20 07:30:00","支付","14725","14725"
"2020-07-20 08:00:00","支付","17934","17934"
"2020-07-20 08:30:00","支付","18170","18170"
"2020-07-20 09:00:00","支付","20486","20482"
"2020-07-20 09:30:00","支付","20791","20788"
"2020-07-20 10:00:00","支付","22588","22582"
"2020-07-20 10:30:00","支付","22827","22825"
"2020-07-20 11:00:00","支付","22091","22086"
"2020-07-20 11:30:00","支付","22251","22247"
"2020-07-20 12:00:00","支付","22100","22094"
"2020-07-20 12:30:00","支付","19403","19395"
